Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,dttl,sttl,ct_flw_http_mthd,res_len,trans_depth,dmeansz,smeansz,dwin,swin,dtcpb,stcpb,Label,attack_cat,res_bdy_len
1588205200,10.0.1.6,54243,10.0.0.4,53,udp,dns,0.001528025,39,55,SF,1,1,0,0,0,0,0,0,0,0,128,128,0,0,0,83,67,0,0,0,0,,,
1588205200,10.0.1.6,56880,10.0.0.4,445,tcp,"gssapi,smb,krb",10.76107693,4020,1681,RSTO,12,11,0,0,0,0,0,1,1,1,128,128,0,0,0,193,108,20861,7059,1505229605,3037930145,,,
1588205280,10.0.1.6,65108,10.0.0.4,53,udp,dns,0.001599073,36,104,SF,1,1,0,1,1,1,0,2,2,2,128,128,0,0,0,132,64,0,0,0,0,,,
1588205323,10.0.1.6,138,10.0.1.255,138,udp,,,,,S0,1,0,0,0,0,0,0,0,0,3,0,128,0,0,0,0,229,0,0,0,0,,,
1588205391,10.0.1.6,123,10.0.0.4,123,udp,,0.003068924,120,120,SF,1,1,0,0,0,0,0,3,3,4,128,128,0,0,0,148,148,0,0,0,0,,,
1588205723,10.0.1.6,54192,10.0.0.4,53,udp,dns,0.001271963,35,51,SF,1,1,0,2,2,2,0,4,4,5,128,128,0,0,0,79,63,0,0,0,0,,,
1588205880,10.0.1.6,56542,10.0.0.4,53,udp,dns,0.001223087,36,104,SF,1,1,0,3,3,3,0,5,5,6,128,128,0,0,0,132,64,0,0,0,0,,,
1588206049,10.0.1.6,56956,10.0.0.4,389,tcp,,0.369796991,2180,515,RSTR,8,8,0,0,0,0,0,6,6,7,128,128,0,0,0,124,87,20487,22374,1819658905,3214930701,,,
1588206049,10.0.1.6,56955,10.0.0.4,389,tcp,,0.515841961,2991,4544,RSTR,13,11,0,0,0,1,0,7,7,8,128,128,0,0,0,599,132,19370,6832,1418158349,2634436645,,,
1588206049,10.0.1.6,56953,10.0.0.4,135,tcp,dce_rpc,14.7123189,328,280,SF,7,6,0,0,0,0,0,8,8,9,128,128,0,0,0,117,90,24584,10933,3535944624,3946279426,,,
1588206049,10.0.1.6,56954,10.0.0.4,49667,tcp,dce_rpc,34.73738909,2799,1098,SF,10,10,0,1,1,0,0,9,9,10,128,128,0,0,0,165,126,21307,8266,2333692858,3105602112,,,
1588206041,10.0.1.6,138,10.0.1.255,138,udp,,,,,S0,1,0,0,0,0,1,1,1,1,11,0,128,0,0,0,0,229,0,0,0,0,,,
1588206048,10.0.1.6,56543,10.0.0.4,389,udp,,0.00107193,203,174,SF,1,1,0,0,0,2,0,10,10,12,128,128,0,0,0,202,231,0,0,0,0,,,
1588206049,10.0.1.6,56545,10.0.0.4,389,udp,,0.001207113,202,174,SF,1,1,0,0,0,3,0,11,11,13,128,128,0,0,0,202,230,0,0,0,0,,,
1588206049,10.0.1.6,56957,10.0.0.4,445,tcp,"gssapi,smb,krb",183.004385,15652,12520,RSTO,71,70,0,1,1,1,0,12,12,14,128,128,0,0,0,233,170,17094,10572,993287131,2760062146,,,
1588206415,10.0.1.6,123,10.0.0.4,123,udp,,0.001982927,120,120,SF,1,1,0,0,0,1,1,13,13,15,128,128,0,0,0,148,148,0,0,0,0,,,
1588206480,10.0.1.6,56622,10.0.0.4,53,udp,dns,0.00188899,36,104,SF,1,1,0,4,4,4,0,14,14,16,128,128,0,0,0,132,64,0,0,0,0,,,
1588206763,10.0.1.6,64909,10.0.0.4,53,udp,dns,0.00229311,47,165,SF,1,1,0,5,5,5,0,15,15,17,128,128,0,0,0,193,75,0,0,0,0,,,
1588206809,10.0.1.4,60775,10.0.1.6,5985,tcp,,0.011584044,4719,426,SF,9,6,0,0,0,0,0,0,0,0,128,128,0,0,0,113,565,24584,8958,1001783987,3616078221,,,
1588206808,10.0.1.4,60774,10.0.1.6,5985,tcp,,1.073806047,16130,6585,SF,22,14,0,0,0,1,0,1,1,1,128,128,0,0,0,267,773,19903,4874,3596827121,3455291931,,,
1588206808,10.0.1.4,60772,10.0.1.6,5985,tcp,,1.519392967,11473,7014,SF,20,12,0,0,0,2,0,2,2,2,128,128,0,0,0,87,614,7339,5158,2966939941,838403696,,,
1588206806,10.0.1.4,60771,10.0.1.6,5985,tcp,,3.010339975,24430,13628,SF,27,16,0,0,0,3,0,3,3,3,128,128,0,0,0,135,945,6015,4351,1434755761,4154541111,,,
1588206764,10.0.1.6,138,10.0.1.255,138,udp,,,,,S0,1,0,0,0,0,2,2,2,2,18,0,128,0,0,0,0,229,0,0,0,0,,,
1588206824,10.0.1.6,56837,10.0.0.4,53,udp,dns,4.115046024,164,261,SF,4,1,0,6,6,6,0,16,16,19,128,128,0,0,0,289,69,0,0,0,0,,,
1588206894,10.0.1.6,57027,10.0.0.4,389,tcp,,0.003503799,158,386,RSTR,5,4,0,0,0,4,0,17,17,20,128,128,0,0,0,139,74,24581,14486,1637361675,1907425235,,,
1588206894,10.0.1.6,57028,10.0.0.4,389,tcp,,0.00999999,2351,6019,RSTR,9,8,0,0,0,5,0,18,18,21,128,128,0,0,0,793,97,20488,8959,1803580878,4200995572,,,
1588206894,10.0.1.6,57029,10.0.0.4,389,tcp,,0.379868984,7233,16107,RSTR,22,24,0,0,0,6,0,19,19,22,128,128,0,0,0,771,133,17758,4874,154048835,4193014429,,,
1588206892,10.0.1.6,58829,10.0.0.4,53,udp,dns,0.001379967,90,158,SF,1,1,0,7,7,7,0,20,20,23,128,128,0,0,0,186,118,0,0,0,0,,,
1588206892,10.0.1.6,52350,10.0.0.4,53,udp,dns,0.00185585,59,127,SF,1,1,0,8,8,8,0,21,21,24,128,128,0,0,0,155,87,0,0,0,0,,,
1588206892,10.0.1.6,137,10.0.1.255,137,udp,dns,1.517328024,150,0,S0,3,0,0,9,0,0,0,3,3,25,0,128,0,0,0,0,78,0,0,0,0,,,
1588206894,10.0.1.6,64562,10.0.0.4,53,udp,dns,0.001204967,53,110,SF,1,1,0,10,9,9,0,22,22,26,128,128,0,0,0,138,81,0,0,0,0,,,
1588206894,10.0.1.6,57026,10.0.0.4,445,tcp,"gssapi,smb,krb,dce_rpc",10.73675299,20809,16305,RSTO,126,125,0,0,0,2,0,23,23,27,128,128,0,0,0,173,180,16785,11404,2887306721,210708221,,,
1588206894,10.0.1.6,57024,10.0.0.4,135,tcp,dce_rpc,12.41123199,328,280,SF,7,6,0,2,2,1,0,24,24,28,128,128,0,0,0,117,90,24584,10933,2597924840,1262344177,,,
1588206894,10.0.1.6,57025,10.0.0.4,49667,tcp,dce_rpc,12.4067409,462,472,SF,7,6,0,3,3,1,0,25,25,29,128,128,0,0,0,178,109,24584,10932,2241798703,2238927602,,,
1588206926,10.0.1.4,60807,10.0.1.6,445,tcp,"gssapi,smb,krb",10.30827498,527368,1617,RSTO,31,25,0,0,0,0,0,4,4,4,128,128,0,0,0,105,7446,18360,3716,352255398,1437054565,,,
1588206926,10.0.1.4,60803,10.0.1.6,445,tcp,gssapi,10.74068093,4261160,3871,RSTO,276,81,0,0,0,1,0,5,5,5,128,128,0,0,0,87,9416,17001,2246,2824034498,1686132515,,,
1588206926,10.0.1.4,60805,10.0.1.6,445,tcp,"gssapi,smb,krb",10.31012106,2084,947,RSTO,8,5,0,1,1,2,0,6,6,6,128,128,0,0,0,231,302,26223,9565,3991234248,1287314823,,,
1588206926,10.0.1.4,60806,10.0.1.6,445,tcp,"gssapi,smb,krb",10.3099339,527300,1619,RSTO,61,25,0,2,2,3,0,7,7,7,128,128,0,0,0,105,7684,18360,3015,1503700581,29345324,,,
1588206894,10.0.1.6,52351,10.0.0.4,389,udp,,0.001388073,246,174,SF,1,1,0,0,0,7,0,26,26,30,128,128,0,0,0,202,274,0,0,0,0,,,
1588206894,10.0.1.6,64563,10.0.0.4,389,udp,,0.001056194,203,174,SF,1,1,0,0,0,8,0,27,27,31,128,128,0,0,0,202,231,0,0,0,0,,,
1588206978,10.0.1.4,60816,10.0.1.6,55121,tcp,,3.003256083,0,0,S0,3,0,0,0,0,0,0,8,8,8,0,128,0,0,0,0,52,0,64240,0,616250780,,,
1588206985,10.0.1.4,60816,10.0.1.6,55121,tcp,,,,,S0,1,0,0,0,0,1,1,9,9,9,0,128,0,0,0,0,52,0,64240,0,616250780,,,
1588206993,10.0.1.4,60816,10.0.1.6,55121,tcp,,,,,S0,1,0,0,0,0,2,2,10,10,10,0,128,0,0,0,0,52,0,64240,0,616250780,,,
1588206990,10.0.1.6,64173,10.0.0.4,53,udp,dns,0.00130105,35,51,SF,1,1,0,11,10,10,0,28,28,32,128,128,0,0,0,79,63,0,0,0,0,,,
1588206999,10.0.1.6,57044,10.0.0.4,389,tcp,,0.00838995,2741,4007,RSTR,10,10,0,0,0,9,0,29,29,33,128,128,0,0,0,441,130,19669,8266,2642323974,867573237,,,
1588206999,10.0.1.6,57045,10.0.0.4,389,tcp,,0.008588076,2206,937,RSTR,7,7,0,0,0,10,0,30,30,34,128,128,0,0,0,175,92,21072,10931,670570681,1951156946,,,
1588206999,10.0.1.6,57046,10.0.0.4,389,tcp,,0.005938053,2391,1273,RSTR,8,8,0,0,0,11,0,31,31,35,128,128,0,0,0,200,109,20487,13408,1154317192,4136455882,,,
1588206999,10.0.1.6,57047,10.0.0.4,88,tcp,krb_tcp,0.002733946,221,182,RSTR,4,4,0,0,0,0,0,32,32,36,128,128,0,0,0,88,98,24581,17596,1976901480,3904752217,,,
1588206999,10.0.1.6,57048,10.0.0.4,88,tcp,krb_tcp,0.002079964,301,1535,RSTR,5,5,0,1,1,1,0,33,33,37,128,128,0,0,0,349,102,22944,25964,373135066,2424434179,,,
1588206999,10.0.1.6,57049,10.0.0.4,88,tcp,krb_tcp,0.002274036,1443,1465,RSTR,5,6,0,2,2,2,0,34,34,38,128,128,0,0,0,286,34,21852,20225,2321196122,574359733,,,
1588206999,10.0.1.4,60819,10.0.1.6,55121,tcp,,3.014851093,0,0,S0,3,0,0,0,0,3,0,11,11,11,0,128,0,0,0,0,52,0,64240,0,3188076793,,,
1588207006,10.0.1.4,60819,10.0.1.6,55121,tcp,,,,,S0,1,0,0,0,0,4,1,12,12,12,0,128,0,0,0,0,52,0,64240,0,3188076793,,,
1588207000,10.0.1.6,57052,10.0.0.4,445,tcp,"gssapi,smb,krb",10.92378998,4020,1681,RSTO,12,11,0,2,2,3,0,35,35,39,128,128,0,0,0,193,108,20861,7059,912829334,1935470149,,,
1588207014,10.0.1.4,60819,10.0.1.6,55121,tcp,,,,,S0,1,0,0,0,0,5,2,13,13,13,0,128,0,0,0,0,52,0,64240,0,3188076793,,,
1588206978,10.0.1.4,60815,10.0.1.6,135,tcp,dce_rpc,42.45286512,496,452,RSTO,8,4,0,0,0,0,0,14,14,14,128,128,0,0,0,156,103,17919,9566,2491215147,686368904,,,
1588206978,10.0.1.4,60811,10.0.1.6,445,tcp,gssapi,53.64974499,193627,30239,RSTO,96,90,0,1,1,4,0,15,15,15,128,128,0,0,0,163,2057,2752,2672,3388182156,973151737,,,
1588207073,10.0.1.4,60829,10.0.1.6,55121,tcp,,3.008784056,0,0,S0,3,0,0,0,0,6,0,16,16,16,0,128,0,0,0,0,52,0,64240,0,466516482,,,
1588207080,10.0.1.4,60829,10.0.1.6,55121,tcp,,,,,S0,1,0,0,0,0,7,1,17,17,17,0,128,0,0,0,0,52,0,64240,0,466516482,,,
1588207080,10.0.1.6,51985,10.0.0.4,53,udp,dns,0.001931906,36,104,SF,1,1,0,12,11,11,0,36,36,40,128,128,0,0,0,132,64,0,0,0,0,,,
1588207088,10.0.1.4,60829,10.0.1.6,55121,tcp,,,,,S0,1,0,0,0,0,8,2,18,18,18,0,128,0,0,0,0,52,0,64240,0,466516482,,,
1588207094,10.0.1.6,57055,10.0.0.4,389,tcp,,0.007080078,2391,1273,RSTR,8,8,0,0,0,12,0,37,37,41,128,128,0,0,0,200,109,20487,9820,3648472784,670458706,,,
1588207094,10.0.1.6,57057,10.0.0.4,389,tcp,,0.006664991,2391,1273,RSTR,8,8,0,0,0,13,0,38,38,42,128,128,0,0,0,200,109,20487,9820,1762174311,2226043277,,,
1588207094,10.0.1.6,57056,10.0.0.4,389,tcp,,0.009953976,2206,937,RSTR,7,7,0,0,0,14,0,39,39,43,128,128,0,0,0,175,92,21072,10931,3275664543,2209116337,,,
1588207094,10.0.1.6,57058,10.0.0.4,88,tcp,krb_tcp,0.002035141,221,182,RSTR,4,4,0,3,3,3,0,40,40,44,128,128,0,0,0,88,98,24581,17596,199913870,3590548975,,,
1588207094,10.0.1.6,57059,10.0.0.4,88,tcp,krb_tcp,0.003325939,301,1535,RSTR,5,5,0,4,4,4,0,41,41,45,128,128,0,0,0,349,102,22944,14487,1987601023,351783957,,,
1588207094,10.0.1.6,57060,10.0.0.4,88,tcp,krb_tcp,0.003378868,1443,1465,RSTR,5,6,0,5,5,5,0,42,42,46,128,128,0,0,0,286,34,21852,14487,1285510838,4110882272,,,
1588207095,10.0.1.4,60831,10.0.1.6,55121,tcp,,3.01238513,0,0,S0,3,0,0,0,0,9,0,19,19,19,0,128,0,0,0,0,52,0,64240,0,1759434278,,,
1588207102,10.0.1.4,60831,10.0.1.6,55121,tcp,,,,,S0,1,0,0,0,0,10,1,20,20,20,0,128,0,0,0,0,52,0,64240,0,1759434278,,,
1588207110,10.0.1.4,60831,10.0.1.6,55121,tcp,,,,,S0,1,0,0,0,0,11,2,21,21,21,0,128,0,0,0,0,52,0,64240,0,1759434278,,,
1588207073,10.0.1.4,60828,10.0.1.6,135,tcp,dce_rpc,42.327039,496,452,RSTO,8,4,0,1,1,1,0,22,22,22,128,128,0,0,0,156,103,17919,9566,1735440624,2341598582,,,
1588207073,10.0.1.4,60824,10.0.1.6,445,tcp,gssapi,53.64452195,193627,30239,RSTO,100,91,0,2,2,5,0,23,23,23,128,128,0,0,0,161,1976,16933,2647,746487001,3296430754,,,
1588207119,10.0.1.6,57063,10.0.0.4,135,tcp,dce_rpc,14.99282002,328,280,SF,7,6,0,4,4,2,0,43,43,47,128,128,0,0,0,117,90,24584,10933,2840772745,2596448224,,,
1588207119,10.0.1.6,57064,10.0.0.4,49667,tcp,dce_rpc,34.98910403,2823,1034,SF,10,10,0,5,5,2,0,44,44,48,128,128,0,0,0,158,126,21307,8266,1931566268,3584846802,,,
1588207183,10.0.1.4,60838,10.0.1.6,445,tcp,gssapi,0.02571702,301,1144,RSTO,5,3,0,3,3,6,0,24,24,24,128,128,0,0,0,425,102,32774,14077,1493902350,234096583,,,
1588207183,10.0.1.4,60839,10.0.1.6,80,tcp,,3.010802031,0,0,S0,3,0,0,0,0,0,0,25,25,25,0,128,0,0,0,0,52,0,64240,0,699753302,,,
1588207190,10.0.1.4,60839,10.0.1.6,80,tcp,,,,,S0,1,0,0,0,0,1,1,26,26,26,0,128,0,0,0,0,52,0,64240,0,699753302,,,
1588207198,10.0.1.4,60839,10.0.1.6,80,tcp,,,,,S0,1,0,0,0,0,2,2,27,27,27,0,128,0,0,0,0,52,0,64240,0,699753302,,,
1588207204,10.0.1.4,60843,10.0.1.6,445,tcp,gssapi,0.00570178,301,1144,RSTO,5,3,0,4,4,7,0,28,28,28,128,128,0,0,0,425,102,23210,14077,1874383265,2670769108,,,
1588207204,10.0.1.4,60844,10.0.1.6,445,tcp,,0.003166914,228,614,RSTO,4,2,0,0,0,8,0,29,29,29,128,128,0,0,0,353,100,33791,17084,2431963412,413174719,,,
1588207204,10.0.1.4,60845,10.0.1.6,445,tcp,,0.003199816,228,614,RSTO,4,2,0,0,0,9,0,30,30,30,128,128,0,0,0,353,100,33791,17084,1240352860,1588922226,,,
1588207204,10.0.1.4,60846,10.0.1.6,445,tcp,,0.002058029,228,614,RSTO,4,2,0,0,0,10,0,31,31,31,128,128,0,0,0,353,100,40965,17084,3652204594,30150773,,,
1588207204,10.0.1.4,60847,10.0.1.6,445,tcp,,0.002382994,228,614,RSTO,4,2,0,0,0,11,0,32,32,32,128,128,0,0,0,353,100,40965,17084,981090281,1914773955,,,
1588207204,10.0.1.4,60848,10.0.1.6,445,tcp,,0.002367973,228,614,RSTO,4,2,0,0,0,12,0,33,33,33,128,128,0,0,0,353,100,33791,17084,129132232,3327576417,,,
1588207204,10.0.1.4,60849,10.0.1.6,445,tcp,,0.003968,228,614,RSTO,4,2,0,0,0,13,0,34,34,34,128,128,0,0,0,353,100,33791,17084,3742253744,2781076916,,,
1588207203,10.0.1.6,50954,10.0.0.4,53,udp,dns,0.036602974,60,151,SF,2,1,0,13,12,12,0,45,45,49,128,128,0,0,0,179,58,0,0,0,0,,,
1588207203,10.0.1.6,64035,10.0.0.4,53,udp,dns,0.001368999,29,80,SF,1,1,0,14,13,13,0,46,46,50,128,128,0,0,0,108,57,0,0,0,0,,,
1588207222,10.0.1.4,60858,10.0.1.6,55121,tcp,,3.006283998,0,0,S0,3,0,0,0,0,12,0,35,35,35,0,128,0,0,0,0,52,0,64240,0,2659806100,,,
1588207229,10.0.1.4,60858,10.0.1.6,55121,tcp,,,,,S0,1,0,0,0,0,13,1,36,36,36,0,128,0,0,0,0,52,0,64240,0,2659806100,,,
1588207237,10.0.1.4,60858,10.0.1.6,55121,tcp,,,,,S0,1,0,0,0,0,14,2,37,37,37,0,128,0,0,0,0,52,0,64240,0,2659806100,,,
1588207244,10.0.1.6,57083,10.0.0.4,389,tcp,,0.007930994,2391,1273,RSTR,8,8,0,0,0,15,0,47,47,51,128,128,0,0,0,200,109,20487,9820,1751730722,1075635986,,,
1588207244,10.0.1.6,57084,10.0.0.4,389,tcp,,0.012980223,2206,937,RSTR,7,7,0,0,0,16,0,48,48,52,128,128,0,0,0,175,92,21072,10931,1658412593,4011729182,,,
1588207244,10.0.1.6,57085,10.0.0.4,389,tcp,,0.010522127,2391,1273,RSTR,8,8,0,0,0,17,0,49,49,53,128,128,0,0,0,200,109,20487,9820,1049070731,867914255,,,
1588207244,10.0.1.6,57086,10.0.0.4,88,tcp,krb_tcp,0.004079103,221,182,RSTR,4,4,0,6,6,6,0,50,50,54,128,128,0,0,0,88,98,24581,17596,1688704175,1714700686,,,
1588207244,10.0.1.6,57087,10.0.0.4,88,tcp,krb_tcp,0.002707958,301,1535,RSTR,5,5,0,7,7,7,0,51,51,55,128,128,0,0,0,349,102,22944,14487,2826986149,2472820732,,,
1588207244,10.0.1.6,57088,10.0.0.4,88,tcp,krb_tcp,0.002567053,1443,1465,RSTR,5,6,0,8,8,8,0,52,52,56,128,128,0,0,0,286,34,21852,25964,4103724567,3730255372,,,
1588207245,10.0.1.6,57091,192.168.0.4,8443,tcp,ssl,0.245304108,894,55873,RSTO,9,9,0,0,0,0,0,0,0,57,63,128,0,0,0,6249,140,7583,8730,1890833741,1082706219,,,
1588207245,10.0.1.6,57092,192.168.0.4,8443,tcp,ssl,0.010174036,997,1823,RSTO,7,6,0,1,1,1,0,1,1,58,63,128,0,0,0,345,184,11124,10639,2718352670,2615912744,,,
1588207245,10.0.1.6,57093,192.168.0.4,8443,tcp,ssl,0.007926226,997,1823,RSTO,7,6,0,2,2,2,0,2,2,59,63,128,0,0,0,345,184,11124,10639,1335345503,1852641565,,,
1588207245,10.0.1.6,57094,192.168.0.4,8443,tcp,ssl,0.009495974,997,2396,RSTO,7,6,0,3,3,3,0,3,3,60,63,128,0,0,0,441,184,11124,10639,1961465401,1410072057,,,
1588207245,10.0.1.6,57095,192.168.0.4,8443,tcp,ssl,0.008330822,1166,1823,RSTO,7,6,0,4,4,4,0,4,4,61,63,128,0,0,0,345,208,11124,10639,2336942392,3057420783,,,
1588207245,10.0.1.6,57096,192.168.0.4,8443,tcp,ssl,0.007671118,997,1921,RSTO,7,6,0,5,5,5,0,5,5,62,63,128,0,0,0,362,184,11124,10639,70063467,4224324845,,,
1588207245,10.0.1.6,57097,192.168.0.4,8443,tcp,ssl,0.009915829,1177,1823,RSTO,7,6,0,6,6,6,0,6,6,62,63,128,0,0,0,345,209,11124,10639,374224829,1958687656,,,
1588207245,10.0.1.6,57098,192.168.0.4,8443,tcp,ssl,0.010755062,997,1952,RSTO,7,6,0,7,7,7,0,7,7,62,63,128,0,0,0,367,184,11124,10639,1085875032,2543540405,,,
1588207245,10.0.1.6,57099,192.168.0.4,8443,tcp,ssl,0.01047802,1158,1823,RSTO,7,6,0,8,8,8,0,8,8,62,63,128,0,0,0,345,207,11124,10639,587496888,3328927298,,,
1588207245,10.0.1.6,57100,192.168.0.4,8443,tcp,ssl,0.009532928,997,1937,RSTO,7,6,0,9,9,9,0,9,9,62,63,128,0,0,0,364,184,11124,10639,380038356,3155309135,,,
1588207245,10.0.1.6,57101,192.168.0.4,8443,tcp,ssl,0.009149075,1152,1823,RSTO,7,6,0,10,10,10,0,10,10,62,63,128,0,0,0,345,206,11124,10639,2816880794,3157378581,,,
1588207245,10.0.1.6,57102,192.168.0.4,8443,tcp,ssl,0.053362846,997,99201,RSTO,11,12,0,11,11,11,0,11,11,62,63,128,0,0,0,8307,131,5812,7515,1170595341,4002114374,,,
1588207245,10.0.1.6,57103,192.168.0.4,8443,tcp,ssl,0.010313034,1994,1823,RSTO,7,6,0,12,12,12,0,12,12,62,63,128,0,0,0,345,326,11124,10639,278737349,1976954700,,,
1588207245,10.0.1.6,57104,192.168.0.4,8443,tcp,ssl,0.01146698,997,1823,RSTO,7,6,0,13,13,13,0,13,13,62,63,128,0,0,0,345,184,11124,10639,1544878924,461572257,,,
1588207245,10.0.1.6,57105,192.168.0.4,8443,tcp,ssl,0.009980917,997,1823,RSTO,7,6,0,14,14,14,0,14,14,62,63,128,0,0,0,345,184,11124,10639,1128269910,2408820525,,,
1588207245,10.0.1.6,57106,192.168.0.4,8443,tcp,ssl,0.049690008,997,1921,RSTO,7,6,0,15,15,15,0,15,15,62,63,128,0,0,0,362,184,11124,10639,301561853,2919167961,,,
1588207246,10.0.1.6,57107,192.168.0.4,8443,tcp,ssl,0.010695934,1180,1823,RSTO,7,6,0,16,16,16,0,16,16,62,63,128,0,0,0,345,210,11124,10639,3371240348,3377152378,,,
1588207246,10.0.1.6,57108,192.168.0.4,8443,tcp,ssl,0.007863045,997,1931,RSTO,7,6,0,17,17,17,0,17,17,62,63,128,0,0,0,363,184,11124,10639,3047455604,1588276535,,,
1588207246,10.0.1.6,57109,192.168.0.4,8443,tcp,ssl,0.0075109,1177,1823,RSTO,7,6,0,18,18,18,0,18,18,62,63,128,0,0,0,345,209,11124,20887,1455175222,3079033548,,,
1588207246,10.0.1.6,57110,192.168.0.4,8443,tcp,ssl,0.010209084,997,1932,RSTO,7,6,0,19,19,19,0,19,19,62,63,128,0,0,0,364,184,11124,10639,2887736864,3339598921,,,
1588207246,10.0.1.6,57111,192.168.0.4,8443,tcp,ssl,0.009424925,1219,1823,RSTO,7,6,0,20,20,20,0,20,20,62,63,128,0,0,0,345,215,11124,10639,3436907436,744256080,,,
1588207246,10.0.1.6,57112,192.168.0.4,8443,tcp,ssl,0.006793022,997,1944,RSTO,7,6,0,21,21,21,0,21,21,62,63,128,0,0,0,366,184,11124,20887,1572938748,2720176579,,,
1588207246,10.0.1.6,57113,192.168.0.4,8443,tcp,ssl,0.007560968,1150,1823,RSTO,7,6,0,22,22,22,0,22,22,62,63,128,0,0,0,345,206,11124,10639,2622306112,671881811,,,
1588207246,10.0.1.6,57114,192.168.0.4,8443,tcp,ssl,0.006747961,997,1939,RSTO,7,6,0,23,23,23,0,23,23,62,63,128,0,0,0,365,184,11124,10639,1553586523,2290596393,,,
1588207246,10.0.1.6,57115,192.168.0.4,8443,tcp,ssl,0.009096861,1169,1823,RSTO,7,6,0,24,24,24,0,24,24,63,63,128,0,0,0,345,208,11124,10639,1890002155,718374300,,,
1588207246,10.0.1.6,57116,192.168.0.4,8443,tcp,ssl,0.008095026,997,1935,RSTO,7,6,0,25,25,25,0,25,25,64,63,128,0,0,0,364,184,11124,10639,3460704204,2537972987,,,
1588207246,10.0.1.6,57117,192.168.0.4,8443,tcp,ssl,0.007080078,1165,1823,RSTO,7,6,0,26,26,26,0,26,26,65,63,128,0,0,0,345,208,11124,10639,3589955965,2173017310,,,
1588207246,10.0.1.6,57118,192.168.0.4,8443,tcp,ssl,0.007798195,997,1823,RSTO,7,6,0,27,27,27,0,27,27,66,63,128,0,0,0,345,184,11124,10639,2756617807,1728621283,,,
1588207246,10.0.1.6,57119,192.168.0.4,8443,tcp,ssl,0.008171082,997,1823,RSTO,7,6,0,28,28,28,0,28,28,66,63,128,0,0,0,345,184,11124,16788,1977486474,740168760,,,
1588207246,10.0.1.6,57120,192.168.0.4,8443,tcp,ssl,0.010251045,997,1823,RSTO,7,6,0,29,29,29,0,29,29,66,63,128,0,0,0,345,184,11124,10639,4161456520,1376990493,,,
1588207246,10.0.1.6,57121,192.168.0.4,8443,tcp,ssl,0.009912014,997,1823,RSTO,7,6,0,30,30,30,0,30,30,66,63,128,0,0,0,345,184,11124,10639,490566985,256425771,,,
1588207246,10.0.1.6,57122,192.168.0.4,8443,tcp,ssl,0.012200832,997,1823,RSTO,7,6,0,31,31,31,0,31,31,66,63,128,0,0,0,345,184,11124,10639,958007153,2955191426,,,
1588207247,10.0.1.6,57123,192.168.0.4,8443,tcp,ssl,0.011091948,997,1823,RSTO,7,6,0,32,32,32,0,32,32,66,63,128,0,0,0,345,184,11124,10639,811525610,65738900,,,
1588207247,10.0.1.6,57124,192.168.0.4,8443,tcp,ssl,0.010638952,997,1823,RSTO,7,6,0,33,33,33,0,33,33,66,63,128,0,0,0,345,184,11124,16788,996198061,719306737,,,
